@	NN	O
rbhu7_82	NN	O
if	IN	O
i	NNS	O
do	VBP	O
n't	RB	O
take	VB	O
my	PRP$	O
quetiapine	NN	O
i	NN	O
can	MD	O
stay	VB	O
awake	VB	B-NP
for	IN	O
days	NNS	O
!	.	O
but	CC	O
i	NNS	O
do	VBP	O
n't	RB	O
want	VB	O
to	TO	O
take	VB	O
an	DT	O
ambien	NN	O
or	CC	O
trazodone	NN	O
or	CC	O
anything	NN	O
because	IN	O
i	JJ	O
dint	NN	O
wan	NN	O
na	IN	O
restart	JJ	O
my	PRP$	O
dependence	NN	B-NP
upon	IN	O
them	PRP	O
sick	NN	O
of	IN	O
feeling	NN	O
tired	VBN	B-NP
.	.	O
fed	VBN	O
up	IN	O
of	IN	O
meds	NNS	O
not	RB	O
working	VBG	O
.	.	O
loads	NNS	O
to	TO	O
do	VB	O
today	NN	O
&	CC	O
amp	NN	O
;	:	O
no	DT	B-NP
freaking	VBG	I-NP
motivation	NN	I-NP
or	CC	O
energy	NN	B-NP
#	#	O
venlafaxine	JJ	O
#	#	O
day9	NN	O
11	CD	O
hours	NNS	O
sleep	JJ	B-NP
and	CC	O
still	RB	O
i	VB	O
feel	NN	O
tired	JJ	B-NP
and	CC	O
dizzy	JJ	B-NP
#	#	O
venlafaxine	JJ	O
#	#	O
day10	NN	O
i	NN	O
think	VBP	O
it	PRP	O
's	VBZ	O
bad	JJ	O
i	JJ	O
'm	VBP	O
consistently	RB	O
in	IN	O
bed	NN	O
by	IN	O
9	CD	O
and	CC	O
asleep	RB	B-NP
by	IN	O
9:15	CD	O
.	.	O
#	#	O
trazodone	NN	O
@	JJ	O
sophiemonk	NN	O
coz	NN	O
olanzapine	NN	O
increases	NNS	B-NP
hunger	VBP	I-NP
strains	NNS	O
u	JJ	O
all	DT	O
day	NN	O
dosile	IN	O
unless	IN	O
u	JJ	O
get	VB	O
up	RP	O
when	WRB	O
ur	JJ	O
accilies	NNS	O
still	RB	O
wud	VBP	O
n	JJ	O
coffee	NN	O
5am	CD	O
fog	NN	O
frost	NN	O
holy	NN	O
shit	NN	O
,	,	O
that	IN	O
trazodone	NN	O
actually	RB	O
knocked	VBD	B-NP
me	PRP	I-NP
the	DT	I-NP
fuck	NN	I-NP
out	IN	I-NP
and	CC	O
took	VBD	O
me	PRP	O
for	IN	O
a	DT	O
ride	NN	O
so	IN	O
it	PRP	O
seems	VBZ	O
that	IN	O
if	IN	O
i	JJ	O
take	VBP	O
#	#	O
venlafaxine	NN	O
in	IN	O
am	VBP	O
i	JJ	O
am	VBP	O
drowsy	JJ	B-NP
all	DT	O
day	NN	O
.	.	O
if	IN	O
i	JJ	O
take	VBP	O
in	IN	O
pm	NN	O
i	NN	O
don�t	VBP	B-NP
sleep	RB	I-NP
well	RB	I-NP
.	.	O
go	VB	O
figure	NN	O
.	.	O
#	#	O
day14	NN	O
new	JJ	O
meds	NNS	O
have	VBP	O
me	PRP	O
out	IN	B-NP
of	IN	I-NP
it	PRP	I-NP
.	.	O
i	JJ	O
want	VBP	O
therapy	NN	O
not	RB	O
doping	VBG	B-NP
up	RP	I-NP
!	.	O
i	NN	O
was	VBD	O
highly	RB	O
functioning	VBG	O
now	RB	O
have	VBP	O
trouble	NN	O
standing	VBG	O
!	.	O
#	#	O
quetiapine	JJ	O
#	#	O
bipolar	NN	O
feel	NN	O
crap	NN	O
every	DT	O
morning	NN	O
.	.	O
wake	VB	O
up	RP	O
after	IN	O
another	DT	O
restless	NN	B-NP
night	NN	I-NP
and	CC	O
just	RB	O
want	VB	O
to	TO	O
cry	VB	O
.	.	O
#	#	O
venlafaxine	JJ	O
#	#	O
day16	NN	O
i	RB	O
low	JJ	O
carb	NN	B-NP
but	CC	I-NP
have	VBP	O
just	RB	O
eaten	VBN	O
my	PRP$	O
body	NN	O
weight	NN	O
in	IN	O
freakin	JJ	O
carbs	NN	O
!	.	O
i	NN	O
only	RB	O
hope	VBP	O
the	DT	O
carb	NN	O
cravings	NNS	O
are	VBP	O
because	IN	O
i�m	JJ	O
coming	VBG	O
off	RP	O
the	DT	O
#	#	O
venlafaxine	NN	O
@	JJ	O
raj1410	NN	O
i	NN	O
'm	VBP	O
now	RB	O
on	IN	O
venlafaxine	NN	O
my	PRP$	O
main	JJ	O
issue	NN	O
is	VBZ	O
the	DT	O
cataplexy	JJ	O
haha	NN	O
just	RB	O
ask	VB	O
@	JJ	O
hannahrogerson	NN	O
this	DT	O
is	VBZ	O
the	DT	O
third	JJ	O
i	NN	O
've	VBP	O
tried	VBN	O
.	.	O
what	WP	O
are	VBP	O
you	PRP	O
on	IN	O
?	.	O
@	JJ	O
river__tam	NN	O
olanzapine	NN	O
is	VBZ	O
amazing	VBG	O
srsly	RB	O
,	,	O
the	DT	O
dreams	NNS	B-NP
are	VBP	O
immense	JJ	O
,	,	O
no	DT	O
addiction	NN	O
,	,	O
its	PRP$	O
gorgeous	JJ	O
,	,	O
like	IN	O
brave	VBP	O
new	JJ	O
world	NN	O
soma	NN	O
to	TO	O
me	PRP	O
@	JJ	O
wee_jendo	NN	O
nicotine	NN	O
lozenges	NNS	O
.	.	O
if	IN	O
i	JJ	O
go	VBP	O
cold	JJ	O
turkey	NN	O
i	NN	O
ca	MD	B-NP
n't	RB	I-NP
think	VB	I-NP
(	(	O
or	CC	O
see	VB	B-NP
)	)	I-NP
straight	RB	I-NP
,	,	O
so	IN	O
i	JJ	O
ca	MD	O
n't	RB	O
work	VB	O
.	.	O
@	IN	O
kierarampton	NN	O
it	PRP	O
's	VBZ	O
called	VBN	O
lamotrigine	NN	O
,	,	O
i	JJ	O
'm	VBP	O
pretty	JJ	O
sure	JJ	O
the	DT	O
mix	NN	O
of	IN	O
them	PRP	O
both	DT	O
is	VBZ	O
making	VBG	O
me	PRP	O
sick	JJ	B-NP
.	.	O
i	NN	O
do	VBP	O
n't	RB	O
think	VB	O
bipolar	JJ	O
&	CC	O
amp	NN	O
;	:	O
add	CC	O
mix	VB	O
very	RB	O
well..	JJ	O
dreamt	NN	O
i	NN	O
was	VBD	O
squirting	VBG	O
acid	NN	O
at	IN	O
wood	NN	O
lice	NN	O
-	:	O
i	NN	O
woke	VBD	O
screaming	VBG	O
when	WRB	O
they	PRP	O
came	VBD	O
at	IN	O
me	PRP	O
.	.	O
i	VB	O
do	VBP	O
hope	VB	O
the	DT	O
dreams	NNS	B-NP
are	VBP	O
the	DT	O
#	#	O
venlafaxine	NN	O
withdrawal	NN	B-NP
.	.	O
for	IN	O
anxiety	NN	O
to	TO	O
penetrate	VB	O
through	IN	O
my	PRP$	O
drowsy	NN	B-NP
haze	NN	B-NP
(	(	O
a	DT	O
result	NN	O
of	IN	O
the	DT	O
triumvirate	NN	O
of	IN	O
fluoxetine	NN	O
,	,	O
pregabalin	NN	O
,	,	O
amoxicillin	VB	O
?	.	O
)	)	O
is	VBZ	O
pretty	JJ	O
good	JJ	O
going	VBG	O
.	.	O
-9.5lbs	NN	B-NP
in	IN	O
14	CD	O
days	NNS	O
.	.	O
obvious	JJ	O
now	RB	O
that	IN	O
i	NN	O
should	MD	O
have	VB	O
stopped	VBN	O
the	DT	O
quetiapine	NN	O
a	DT	O
long	JJ	O
long	JJ	O
time	NN	O
ago	IN	O
before	IN	O
i	NN	O
got	VBD	O
in	IN	O
this	DT	O
state	NN	O
extra	JJ	O
quetiapine	NN	O
and	CC	O
two	CD	O
zopiclone	NN	O
still	RB	O
